,Time,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,ACCELERATOR_POS_D,ACCELERATOR_POS_E,THROTTLE_ACTUATOR
253,1725715739.972731,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
254,1725715740.0146754,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
255,1725715740.0504718,,,,,,,,795.5 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
256,1725715740.0925188,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
257,1725715740.1345608,,,,,,,,,,12.5 degree,,,,,,,,,,,,,,,,,,,,,
258,1725715740.1825254,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
259,1725715740.2246666,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
260,1725715740.2723384,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
261,1725715740.314811,,,,,,,,,,,,,,0.14 volt,,,,,,,,,,,,,,,,,
262,1725715740.362804,,,,,,,,,,,,,,,0.66 volt,,,,,,,,,,,,,,,,
263,1725715740.4043875,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
264,1725715740.4403906,,,,,,,,,,,,,,,,,169.0 second,,,,,,,,,,,,,,
265,1725715740.4823792,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
266,1725715740.5244927,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
267,1725715740.5725594,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
268,1725715740.6145837,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
269,1725715740.6624942,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
270,1725715740.7047753,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
271,1725715740.7523696,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
272,1725715740.7944694,,,,,,,,,,,,,,,,,,,,,,,,,13.805 volt,,,,,,
273,1725715740.8425326,,,,,,,,,,,,,,,,,,,,,,,,,,16.470588235294116 percent,,,,,
274,1725715740.8846927,,,,,,,,,,,,,,,,,,,,,,,,,,,5.490196078431373 percent,,,,
275,1725715740.9328008,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
276,1725715740.9745195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
277,1725715741.0226603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
278,1725715741.0645466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
279,1725715741.3646019,<obd.OBDResponse.Status object at 0x7fdf648b6590>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1725715741.4123847,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,1725715741.454683,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,1725715741.4905179,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1725715741.532719,,,,,-1.5625 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
284,1725715741.5741136,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
285,1725715741.6104894,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
286,1725715741.6523705,,,,,,,,809.0 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
287,1725715741.6943364,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
288,1725715741.73061,,,,,,,,,,11.0 degree,,,,,,,,,,,,,,,,,,,,,
289,1725715741.772576,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
290,1725715741.814671,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
291,1725715741.8624773,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
292,1725715741.9044237,,,,,,,,,,,,,,0.63 volt,,,,,,,,,,,,,,,,,
293,1725715741.9407034,,,,,,,,,,,,,,,0.675 volt,,,,,,,,,,,,,,,,
294,1725715741.9823642,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
295,1725715742.0244844,,,,,,,,,,,,,,,,,170.0 second,,,,,,,,,,,,,,
296,1725715742.0725093,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
297,1725715742.1145494,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
298,1725715742.1508253,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
299,1725715742.192535,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
300,1725715742.234358,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
301,1725715742.2705374,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
302,1725715742.3124812,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
303,1725715742.3545334,,,,,,,,,,,,,,,,,,,,,,,,,13.829 volt,,,,,,
304,1725715742.3907197,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
305,1725715742.4326026,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
306,1725715742.4746742,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
307,1725715742.522661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
308,1725715742.5647047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
309,1725715742.612842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
310,1725715742.900469,<obd.OBDResponse.Status object at 0x7fdf648b73d0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1725715742.9423985,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1725715742.9846733,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1725715743.0322773,,,,64 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,1725715743.074788,,,,,-3.90625 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1725715743.1227267,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
316,1725715743.1648288,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
317,1725715743.2125745,,,,,,,,793.0 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
318,1725715743.2544603,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
319,1725715743.2906618,,,,,,,,,,12.5 degree,,,,,,,,,,,,,,,,,,,,,
320,1725715743.3325465,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
321,1725715743.3746457,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
322,1725715743.4224246,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
323,1725715743.4647207,,,,,,,,,,,,,,0.755 volt,,,,,,,,,,,,,,,,,
324,1725715743.5127158,,,,,,,,,,,,,,,0.66 volt,,,,,,,,,,,,,,,,
325,1725715743.5544758,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
326,1725715743.5905554,,,,,,,,,,,,,,,,,172.0 second,,,,,,,,,,,,,,
327,1725715743.6324782,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
328,1725715743.674507,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
329,1725715743.722817,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
330,1725715743.7644563,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
331,1725715743.8124318,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
332,1725715743.854675,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
333,1725715743.8904128,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
334,1725715743.9325187,,,,,,,,,,,,,,,,,,,,,,,,,13.711 volt,,,,,,
335,1725715743.9747713,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
336,1725715744.0228593,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
337,1725715744.0647726,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
338,1725715744.1128569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
339,1725715744.1545882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
340,1725715744.2025232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
341,1725715744.4905684,<obd.OBDResponse.Status object at 0x7fdf648b7f90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1725715744.5325398,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1725715744.5747914,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1725715744.6226377,,,,64 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,1725715744.6645255,,,,,-3.90625 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
346,1725715744.7127378,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
347,1725715744.7547276,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
348,1725715744.802506,,,,,,,,801.0 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
349,1725715744.844509,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
350,1725715744.8806856,,,,,,,,,,13.5 degree,,,,,,,,,,,,,,,,,,,,,
351,1725715744.9224124,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
352,1725715744.964721,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
353,1725715745.0124078,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
354,1725715745.054822,,,,,,,,,,,,,,0.12 volt,,,,,,,,,,,,,,,,,
355,1725715745.102827,,,,,,,,,,,,,,,0.67 volt,,,,,,,,,,,,,,,,
356,1725715745.1442084,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
357,1725715745.1805656,,,,,,,,,,,,,,,,,173.0 second,,,,,,,,,,,,,,
358,1725715745.222412,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
359,1725715745.2645004,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
360,1725715745.3127205,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
361,1725715745.354494,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
362,1725715745.3906054,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
363,1725715745.4330263,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
364,1725715745.4742823,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
365,1725715745.5225778,,,,,,,,,,,,,,,,,,,,,,,,,13.829 volt,,,,,,
366,1725715745.5646782,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
367,1725715745.6128373,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
368,1725715745.6549823,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
369,1725715745.7026403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
370,1725715745.7447686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
371,1725715745.7926817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
372,1725715746.0805414,<obd.OBDResponse.Status object at 0x7fdf648ab050>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1725715746.1223922,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,1725715746.1642768,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1725715746.2123616,,,,64 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1725715746.2547042,,,,,-1.5625 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1725715746.2907126,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
378,1725715746.3328323,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
379,1725715746.3745213,,,,,,,,807.5 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
380,1725715746.4224973,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
381,1725715746.464967,,,,,,,,,,10.5 degree,,,,,,,,,,,,,,,,,,,,,
382,1725715746.5125673,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
383,1725715746.554705,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
384,1725715746.602398,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
385,1725715746.6440973,,,,,,,,,,,,,,0.805 volt,,,,,,,,,,,,,,,,,
386,1725715746.6802146,,,,,,,,,,,,,,,0.665 volt,,,,,,,,,,,,,,,,
387,1725715746.7219229,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
388,1725715746.7642658,,,,,,,,,,,,,,,,,175.0 second,,,,,,,,,,,,,,
389,1725715746.8000553,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
390,1725715746.842487,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
391,1725715746.884676,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
392,1725715746.9324477,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
393,1725715746.9744937,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
394,1725715747.0226057,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
395,1725715747.064336,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
396,1725715747.1124177,,,,,,,,,,,,,,,,,,,,,,,,,13.758000000000001 volt,,,,,,
397,1725715747.1545749,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
398,1725715747.1906943,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
399,1725715747.2325768,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
400,1725715747.274608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
401,1725715747.3226793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
402,1725715747.3643348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
