Code,Trouble Code System,Condition Description
P0476,Powertrain,Exhaust Pressure Control Valve  - Range/Performance
P0477,Powertrain,Exhaust Pressure Control Valve  - Low
P0478,Powertrain,Exhaust pressure control valve high input
P0478,Powertrain,Exhaust Pressure Control Valve  - High
P0479,Powertrain,Exhaust Pressure Control Valve  - Intermittent
P047A,Powertrain,Exhaust Pressure Sensor  - Circuit 
P047B,Powertrain,Exhaust Pressure Sensor  - Circuit Range/Performance
P047C,Powertrain,Exhaust Pressure Sensor  - Circuit Low
P047D,Powertrain,Exhaust Pressure Sensor  - Circuit High 
P047E,Powertrain,Exhaust Pressure Sensor  - Circuit Intermittent/Erratic
P047F,Powertrain,Exhaust Pressure Control Valve  - Stuck Open
P0480,Powertrain,Cooling Fan I Control Circuit Malfunction
P0481,Powertrain,Cooling Fan 2 Control Circuit Malfunction
P0482,Powertrain,Cooling Fan 3 Control Circuit Malfunction
P0483,Powertrain,Cooling Fan Rationality Check Malfunction
P0484,Powertrain,Cooling Fan Circuit Over Current 
P0485,Powertrain,Cooling Fan Power/Ground Circuit Malfunction
P0486,Powertrain,Exhaust Gas Recirculation Sensor  - Circuit
P0487,Powertrain,Exhaust Gas Recirculation Throttle Control Circuit  - Open
P0488,Powertrain,Exhaust Gas Recirculation Throttle Control Circuit  - Range/Performance
P0489,Powertrain,Exhaust Gas Recirculation  - Control Circuit Low
P048A,Powertrain,Exhaust Pressure Control Valve  - Stuck Closed
P048B,Powertrain,Exhaust Pressure Control Valve Position Sensor/Switch Circuit
P048C,Powertrain,Exhaust Pressure Control Valve Position Sensor/Switch Circuit Range/Performance
P048D,Powertrain,Exhaust Pressure Control Valve Position Sensor/Switch Circuit Low
P048E,Powertrain,Exhaust Pressure Control Valve Position Sensor/Switch Circuit High
P048F,Powertrain,Exhaust Pressure Control Valve Position Sensor/Switch Circuit Intermittent/Erratic
P0490,Powertrain,Exhaust Gas Recirculation  - Control Circuit High
P0491,Powertrain,Secondary Air Injection System Insufficient Flow Bank 1
P0492,Powertrain,Secondary Air Injection System Insufficient Flow Bank 2
P0493,Powertrain,Fan Overspeed
P0494,Powertrain,Fan Speed Low
P0495,Powertrain,Fan Speed High
P0496,Powertrain,EVAP Flow During A Non-Purge Condition
P0497,Powertrain,Evaporative Emission System Low Purge Flow
P0498,Powertrain,Evaporative Emission System Vent Valve Control Circuit Low
P0499,Powertrain,Evaporative Emission System Vent Valve Control Circuit High
P049A,Powertrain,Exhaust Gas Recirculation  - Flow
P049B,Powertrain,Exhaust Gas Recirculation  - Flow Insufficient Detected
P049C,Powertrain,Exhaust Gas Recirculation  - Flow Excessive Detected
P049D,Powertrain,Exhaust Gas Recirculation  - Control Position Exceeded Learning Limit
P049E,Powertrain,Exhaust Gas Recirculation  - Control Position Exceeded Learning Limit
P049F,Powertrain,Exhaust Pressure Control Valve  -
P04A0,Powertrain,Exhaust Pressure Control Valve  - Range/Performance
P04A1,Powertrain,Exhaust Pressure Control Valve  - Low
P04A2,Powertrain,Exhaust Pressure Control Valve  - High
P04A3,Powertrain,Exhaust Pressure Control Valve - Intermittent
P04A4,Powertrain,Exhaust Pressure Control Valve  - Stuck Open
P04A5,Powertrain,Exhaust Pressure Control Valve  - Stuck Closed
P04A6,Powertrain,Exhaust Pressure Control Valve  - Position Sensor/Switch Circuit
P04A7,Powertrain,Exhaust Pressure Control Valve  - Position Sensor/Switch Circuit Range/Performance
P04A8,Powertrain,Exhaust Pressure Control Valve  - Position Sensor/Switch Circuit Low
P04A9,Powertrain,Exhaust Pressure Control Valve  - Position Sensor/Switch Circuit High
P04AA,Powertrain,Exhaust Pressure Control Valve  - Position Sensor/Switch Circuit Intermittent/Erratic
P0500,Powertrain,Vehicle speed sensor malfunction
P0500,Powertrain,Vehicle Speed Sensor  - Malfunction
P0501,Powertrain,Vehicle Speed Sensor  - Range/Performance
P0502,Powertrain,Vehicle Speed Sensor  - Low Input
P0503,Powertrain,Vehicle speed sensor noisy
P0503,Powertrain,Vehicle Speed Sensor  - Intermittent/Erratic/High
P0504,Powertrain,Brake Switch   - Correlation
P0505,Powertrain,Idle Control System Malfunction
P0506,Powertrain,Idle Control System RPM Lower Than Expected
P0507,Powertrain,Idle Control System RPM Higher Than Expected
P0508,Powertrain,Idle Air Control System Circuit Low
P0509,Powertrain,Idle Air Control System Circuit High
P050A,Powertrain,Cold Start Idle Air Control System Performance
P050B,Powertrain,Cold Start Ignition Timing Performance
P050C,Powertrain,Cold Start Engine Coolant Temperature Performance
P050D,Powertrain,Cold Start Rough Idle
P050E,Powertrain,Cold Start Engine Exhaust Temperature Too Low
P050F,Powertrain,Brake Assist Vacuum Too Low
P0510,Powertrain,Closed Throttle Position Switch Malfunction
P0511,Powertrain,Idle Air Control Circuit
P0512,Powertrain,Starter Request Circuit
P0513,Powertrain,Incorrect Immobilizer Key
P0514,Powertrain,Battery Temperature Sensor Circuit Range/Performance
P0515,Powertrain,Battery Temperature Sensor Circuit
P0516,Powertrain,Battery Temperature Sensor Circuit Low
P0517,Powertrain,Battery Temperature Sensor Circuit High
P0518,Powertrain,Idle Air Control Circuit Intermittent
P0519,Powertrain,Idle Air Control System Performance
P051A,Powertrain,Crankcase Pressure Sensor Circuit
P051B,Powertrain,Crankcase Pressure Sensor Circuit Range/Performance
P051C,Powertrain,Crankcase Pressure Sensor Circuit Low
P051D,Powertrain,Crankcase Pressure Sensor Circuit High
P051E,Powertrain,Crankcase Pressure Sensor Circuit Intermittent/Erratic
P051F,Powertrain,Positive Crankcase Ventilation Filter Restriction
P0520,Powertrain,Engine Oil Pressure Sensor/Switch Circuit Malfunction
P0521,Powertrain,Engine Oil Pressure Sensor/Switch Circuit Range/Performance
P0522,Powertrain,Engine Oil Pressure Sensor/Switch Circuit Low Voltage
P0523,Powertrain,Engine Oil Pressure Sensor/Switch Circuit High Voltage
P0524,Powertrain,Engine Oil Pressure Too Low
P0525,Powertrain,Cruise Control Servo Control Circuit Range/Performance
P0526,Powertrain,Fan Speed Sensor Circuit
P0527,Powertrain,Fan Speed Sensor Circuit Range/Performance
P0528,Powertrain,Fan Speed Sensor Circuit No Signal
P0529,Powertrain,Fan Speed Sensor Circuit Intermittent
P052A,Powertrain,Cold Start  - Camshaft Position Timing Over-Advanced Bank 1
P052B,Powertrain,Cold Start  - Camshaft Position Timing Over-Retarded Bank 1
P052C,Powertrain,Cold Start  - Camshaft Position Timing Over-Advanced Bank 2
P052D,Powertrain,Cold Start  - Camshaft Position Timing Over-Retarded Bank 2
P052E,Powertrain,Positive Crankcase Ventilation Regulator Valve Performance
P0530,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit
P0531,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit Range/Performance
P0532,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit Low
P0533,Powertrain,A/C Refrigerant Pressure Sensor  - Circuit High
P0534,Powertrain,Air Conditioner Refrigerant Charge Loss
P0535,Powertrain,A/C Evaporator Temperature Sensor Circuit
P0536,Powertrain,A/C Evaporator Temperature Sensor Circuit Range/Performance
P0537,Powertrain,A/C Evaporator Temperature Sensor Circuit Low
P0538,Powertrain,A/C Evaporator Temperature Sensor Circuit High
P0539,Powertrain,A/C Evaporator Temperature Sensor Circuit Intermittent
P053A,Powertrain,Positive Crankcase Ventilation Heater Control Circuit /Open
P053B,Powertrain,Positive Crankcase Ventilation Heater Control Circuit Low
P053C,Powertrain,Positive Crankcase Ventilation Heater Control Circuit High
P0540,Powertrain,Intake Air Heater  - Circuit
P0541,Powertrain,Manifold intake air heater…
P0541,Powertrain,Intake Air Heater  - Circuit Low
P0542,Powertrain,Manifold intake air heater…
P0542,Powertrain,Intake Air Heater  - Circuit High
P0543,Powertrain,Intake Air Heater  - Circuit Open
P0544,Powertrain,Exhaust Gas Temperature Sensor Circuit (Bank 1 Sensor 1)
P0545,Powertrain,Exhaust Gas Temperature Sensor Circuit Low (Bank 1 Sensor 1)
P0546,Powertrain,Exhaust Gas Temperature Sensor Circuit High (Bank 1 Sensor 1)
P0547,Powertrain,Exhaust Gas Temperature Sensor Circuit (Bank 2 Sensor 1)
P0548,Powertrain,Exhaust Gas Temperature Sensor Circuit Low (Bank 2 Sensor 1)
P0549,Powertrain,Exhaust Gas Temperature Sensor Circuit High (Bank 2 Sensor 1)
P054A,Powertrain,Cold Start  - Camshaft Position Timing Over-Advanced Bank 1
P054B,Powertrain,Cold Start  - Camshaft Position Timing Over-Retarded Bank 1
P054C,Powertrain,Cold Start  - Camshaft Position Timing Over-Advanced Bank 2
P054D,Powertrain,Cold Start  - Camshaft Position Timing Over-Retarded Bank 2
P0550,Powertrain,Power Steering Pressure Sensor Circuit Malfunction
P0551,Powertrain,Power Steering Pressure Sensor Circuit Range/Performance
P0552,Powertrain,Power Steering Pressure Sensor Circuit Low Input
P0553,Powertrain,Power Steering Pressure Sensor Circuit High Input
P0554,Powertrain,Power Steering Pressure Sensor Circuit Intermittent
P0555,Powertrain,Brake Booster Pressure Sensor Circuit
P0556,Powertrain,Brake Booster Pressure Sensor Circuit Range/Performance
P0557,Powertrain,Brake Booster Pressure Sensor Circuit Low
P0558,Powertrain,Brake Booster Pressure Sensor Circuit High
P0559,Powertrain,Brake Booster Pressure Sensor Circuit Intermittent
P0560,Powertrain,System voltage malfunction
P0560,Powertrain,System Voltage Malfunction
P0561,Powertrain,System Voltage Unstable
P0562,Powertrain,System voltage low
P0562,Powertrain,System Voltage Low
P0563,Powertrain,System voltage high
P0563,Powertrain,System Voltage High
P0564,Powertrain,Cruise Control Multi-Function Input  - Circuit
P0565,Powertrain,Cruise “On” signal malfunction
P0565,Powertrain,Cruise Control On Signal Malfunction
P0566,Powertrain,Cruise “Off” signal malfunction
P0566,Powertrain,Cruise Control Off Signal Malfunction
P0567,Powertrain,Cruise “Resume” signal malfunction
P0567,Powertrain,Cruise Control Resume Signal Malfunction
P0568,Powertrain,Cruise “Set” signal malfunction
P0568,Powertrain,Cruise Control Set Signal Malfunction
P0569,Powertrain,Cruise “Coast” signal malfunction
P0569,Powertrain,Cruise Control Coast Signal Malfunction
P056A,Powertrain,Cruise Control - Increase Distance Signal
P056B,Powertrain,Cruise Control - Decrease Distance Signal
P0570,Powertrain,Cruise Control Accel Signal Malfunction
P0571,Powertrain,Brake switch A circuit malfunction
P0571,Powertrain,Cruise Control/Brake Switch A Circuit Malfunction
P0572,Powertrain,Cruise Control/Brake Switch A Circuit Low
P0573,Powertrain,Cruise Control/Brake Switch A Circuit High
P0574,Powertrain,Cruise Control System - Vehicle Speed Too High
P0575,Powertrain,Cruise Control Input Circuit
P0576,Powertrain,Cruise Control Input Circuit Low
P0577,Powertrain,Cruise Control Input Circuit High
P0578,Powertrain,Cruise Control Multi-Function Input  - Circuit Stuck
P0579,Powertrain,Cruise Control Multi-Function Input  - Circuit Range/Performance
P0580,Powertrain,Cruise Control Multi-Function Input  - Circuit Low
P0581,Powertrain,Cruise Control Multi-Function Input  - Circuit High
P0582,Powertrain,Cruise Control Vacuum Control Circuit /Open
P0583,Powertrain,Cruise Control Vacuum Control Circuit Low
P0584,Powertrain,Cruise Control Vacuum Control Circuit High
P0585,Powertrain,Cruise Control Multi-Function Input   - Correlation
P0586,Powertrain,Cruise Control Vent Control Circuit/Open
P0587,Powertrain,Cruise Control Vent Control Circuit Low
P0588,Powertrain,Cruise Control Vent Control Circuit High
P0589,Powertrain,Cruise Control Multi-Function Input  - Circuit
P0590,Powertrain,Cruise Control Multi-Function Input  - Circuit Stuck
P0591,Powertrain,Cruise Control Multi-Function Input  - Circuit Range/Performance
P0592,Powertrain,Cruise Control Multi-Function Input  - Circuit Low
P0593,Powertrain,Cruise Control Multi-Function Input  - Circuit High
P0594,Powertrain,Cruise Control Servo Control Circuit/Open
P0595,Powertrain,Cruise Control Servo Control Circuit Low
P0596,Powertrain,Cruise Control Servo Control Circuit High
P0597,Powertrain,Thermostat Heater Control Circuit/Open
P0598,Powertrain,Thermostat Heater Control Circuit Low
P0599,Powertrain,Thermostat Heater Control Circuit High
P0600,Powertrain,Serial Communication Link Malfunction
P0601,Powertrain,Internal Control Module Memory Check Sum Error
P0602,Powertrain,Control Module Programming Error
P0603,Powertrain,Internal control module KAM error
P0603,Powertrain,Internal Control Module Keep Alive Memory (KAM) Error
P0604,Powertrain,Internal Control Module Random Access Memory (RAM) Error
P0605,Powertrain,Internal control module ROM error
P0605,Powertrain,Internal Control Module Read Only Memory (ROM) Error
P0606,Powertrain,PCM processor fault
P0606,Powertrain,PCM Processor Fault
P0607,Powertrain,Control Module Performance
P0608,Powertrain,"Control Module VSS Output ""A"" Malfunction"
P0609,Powertrain,"Control Module VSS Output ""B"" Malfunction"
P060A,Powertrain,Internal Control Module Monitoring Processor Performance
P060B,Powertrain,Internal Control Module A/D Processing Performance
P060C,Powertrain,Internal Control Module Main Processor Performance
P060D,Powertrain,Internal Control Module Accelerator Pedal Position Performance
P060E,Powertrain,Internal Control Module Throttle Position Performance
P060F,Powertrain,Internal Control Module Coolant Temperature Performance
P0610,Powertrain,Control Module Vehicle Options Error
P0611,Powertrain,Fuel Injector Control Module Performance
P0612,Powertrain,Fuel Injector Control Module Relay Control
P0613,Powertrain,TCM Processor
P0614,Powertrain,ECM / TCM Incompatible
P0615,Powertrain,Starter Relay Circuit
P0616,Powertrain,Starter Relay Circuit Low
P0617,Powertrain,Starter Relay Circuit High
P0618,Powertrain,Alternative Fuel Control Module KAM Error
P0619,Powertrain,Alternative Fuel Control Module RAM/ROM Error
P061A,Powertrain,Internal Control Module Torque Performance
P061B,Powertrain,Internal Control Module Torque Calculation Performance
P061C,Powertrain,Internal Control Module Engine RPM Performance
P061D,Powertrain,Internal Control Module Engine Air Mass Performance
P061E,Powertrain,Internal Control Module Brake Signal Performance
P061F,Powertrain,Internal Control Module Throttle Actuator Controller Performance
P0620,Powertrain,Generator Control Circuit Malfunction
P0621,Powertrain,"Generator Lamp ""L"" Control Circuit Malfunction"
P0622,Powertrain,"Generator Field ""F"" Control Circuit Malfunction"
P0623,Powertrain,Generator Lamp Control Circuit
P0624,Powertrain,Fuel Cap Lamp Control Circuit
P0625,Powertrain,Generator Field/F Terminal Circuit Low
P0626,Powertrain,Generator Field/F Terminal Circuit High
P0627,Powertrain,Fuel Pump  - Control Circuit /Open
P0628,Powertrain,Fuel Pump  - Control Circuit Low
P0629,Powertrain,Fuel Pump  - Control Circuit High
P062A,Powertrain,Fuel Pump  - Control Circuit Range/Performance
P062B,Powertrain,Internal Control Module Fuel Injector Control Performance
P062C,Powertrain,Internal Control Module Vehicle Speed Performance
P062D,Powertrain,Fuel Injector Driver Circuit Performance Bank 1
P062E,Powertrain,Fuel Injector Driver Circuit Performance Bank 2
P062F,Powertrain,Internal Control Module EEPROM Error
P0630,Powertrain,VIN Not Programmed or Incompatible &ndash; ECM/PCM
P0631,Powertrain,VIN Not Programmed or Incompatible &ndash; TCM
P0632,Powertrain,Odometer Not Programmed &ndash; ECM/PCM
P0633,Powertrain,Immobilizer Key Not Programmed &ndash; ECM/PCM
P0634,Powertrain,PCM/ECM/TCM Internal Temperature Too High
P0635,Powertrain,Power Steering Control Circuit
P0636,Powertrain,Power Steering Control Circuit Low
P0637,Powertrain,Power Steering Control Circuit High
P0638,Powertrain,Throttle Actuator Control Range/Performance (Bank 1)
P0639,Powertrain,Throttle Actuator Control Range/Performance (Bank 2)
P063A,Powertrain,Generator Voltage Sense Circuit
P063B,Powertrain,Generator Voltage Sense Circuit Range/Performance 
P063C,Powertrain,Generator Voltage Sense Circuit Low
P063D,Powertrain,Generator Voltage Sense Circuit High
P063E,Powertrain,Auto Configuration Throttle Input Not Present 
P063F,Powertrain,Auto Configuration Engine Coolant Temperature Input Not Present
P0640,Powertrain,Manifold intake air heater…
P0640,Powertrain,Intake Air Heater Control Circuit
P0641,Powertrain,Sensor Reference Voltage  - Circuit Open
P0642,Powertrain,Sensor Reference Voltage  - Circuit Low
P0643,Powertrain,Sensor Reference Voltage  - Circuit High
P0644,Powertrain,Driver Display Serial Communication Circuit
P0645,Powertrain,A/C Clutch Relay Control Circuit
P0646,Powertrain,A/C Clutch Relay Control Circuit Low
P0647,Powertrain,A/C Clutch Relay Control Circuit High
P0648,Powertrain,Immobilizer Lamp Control Circuit
P0649,Powertrain,Speed Control Lamp Control Circuit
P064A,Powertrain,Fuel Pump Control Module
P064B,Powertrain,PTO Control Module
P064C,Powertrain,Glow Plug Control Module
P064D,Powertrain,Internal Control Module O2 Sensor Processor Performance Bank 1
P064E,Powertrain,Internal Control Module O2 Sensor Processor Performance Bank 2
P064F,Powertrain,Unauthorized Software/Calibration Detected
P0650,Powertrain,Malfunction Indicator Lamp (MIL) Control Circuit Malfunction
P0651,Powertrain,Sensor Reference Voltage  - Circuit Open
P0652,Powertrain,Sensor Reference Voltage  - Circuit Low
P0653,Powertrain,Sensor Reference Voltage  - Circuit High
P0654,Powertrain,Engine RPM Output Circuit Malfunction
P0655,Powertrain,Engine Hot Lamp Output Control Circuit Malfunction
P0656,Powertrain,Fuel Level Output Circuit Malfunction
P0657,Powertrain,Actuator Supply Voltage  - Circuit/Open
P0658,Powertrain,Actuator Supply Voltage  - Circuit Low
P0659,Powertrain,Actuator Supply Voltage  - Circuit High
P065A,Powertrain,Generator System Performance
P065B,Powertrain,Generator Control Circuit Range/Performance
P065C,Powertrain,Generator Mechanical Performance
P065D,Powertrain,Reductant System Malfunction Lamp Control Circuit
P065E,Powertrain,Intake Manifold Tuning Valve Performance Bank 1
P065F,Powertrain,Intake Manifold Tuning Valve Performance Bank 2
P0660,Powertrain,Intake Manifold Tuning Valve Control Circuit/Open Bank 1
P0661,Powertrain,Intake Manifold Tuning Valve Control Circuit Low Bank 1
P0662,Powertrain,Intake Manifold Tuning Valve Control Circuit High Bank 1
P0663,Powertrain,Intake Manifold Tuning Valve Control Circuit/Open Bank 2
P0664,Powertrain,Intake Manifold Tuning Valve Control Circuit Low Bank 2
P0665,Powertrain,Intake Manifold Tuning Valve Control Circuit High Bank 2
P0666,Powertrain,PCM/ECM/TCM Internal Temperature Sensor Circuit
P0667,Powertrain,PCM/ECM/TCM Internal Temperature Sensor Range/Performance
P0668,Powertrain,PCM/ECM/TCM Internal Temperature Sensor Circuit Low
P0669,Powertrain,PCM/ECM/TCM Internal Temperature Sensor Circuit High
P066A,Powertrain,Cylinder 1 Glow Plug Control Circuit Low
P066B,Powertrain,Cylinder 1 Glow Plug Control Circuit High
P066C,Powertrain,Cylinder 2 Glow Plug Control Circuit Low
P066D,Powertrain,Cylinder 2 Glow Plug Control Circuit High
P066E,Powertrain,Cylinder 3 Glow Plug Control Circuit Low
P066F,Powertrain,Cylinder 3 Glow Plug Control Circuit High
P0670,Powertrain,Glow plug control circuit malfunction
P0670,Powertrain,Glow Plug Module Control Circuit
P0671,Powertrain,Glow plug #1 circuit failure
P0671,Powertrain,Cylinder 1 Glow Plug Circuit
P0672,Powertrain,Glow plug #2 circuit failure
P0672,Powertrain,Cylinder 2 Glow Plug Circuit
P0673,Powertrain,Glow plug #3 circuit failure
P0673,Powertrain,Cylinder 3 Glow Plug Circuit
P0674,Powertrain,Glow plug #4 circuit failure
P0674,Powertrain,Cylinder 4 Glow Plug Circuit
P0675,Powertrain,Glow plug #5 circuit failure
P0675,Powertrain,Cylinder 5 Glow Plug Circuit
P0676,Powertrain,Glow plug #6 circuit failure
P0676,Powertrain,Cylinder 6 Glow Plug Circuit
P0677,Powertrain,Glow plug #7 circuit failure
P0677,Powertrain,Cylinder 7 Glow Plug Circuit
P0678,Powertrain,Glow plug #8 circuit failure
P0678,Powertrain,Cylinder 8 Glow Plug Circuit
P0679,Powertrain,Cylinder 9 Glow Plug Circuit
P067A,Powertrain,Cylinder 4 Glow Plug Control Circuit Low
P067B,Powertrain,Cylinder 4 Glow Plug Control Circuit High
P067C,Powertrain,Cylinder 5 Glow Plug Control Circuit Low
P067D,Powertrain,Cylinder 5 Glow Plug Control Circuit High
P067E,Powertrain,Cylinder 6 Glow Plug Control Circuit Low
P067F,Powertrain,Cylinder 6 Glow Plug Control Circuit High
P0680,Powertrain,Cylinder 10 Glow Plug Circuit
P0681,Powertrain,Cylinder 11 Glow Plug Circuit
P0682,Powertrain,Cylinder 12 Glow Plug Circuit
P0683,Powertrain,Glow plug diagnostic signal communication fault
P0683,Powertrain,Glow Plug Control Module to PCM Communication Circuit
P0684,Powertrain,Glow Plug Control Module to PCM Communication Circuit Range/Performance
P0685,Powertrain,ECM/PCM Power Relay Control Circuit Open
P0686,Powertrain,ECM/PCM Power Relay Control Circuit Low
P0687,Powertrain,ECM/PCM Power Relay Control Circuit High
P0688,Powertrain,ECM/PCM Power Relay Sense Circuit Open
P0689,Powertrain,ECM/PCM Power Relay Sense Circuit Low
P068A,Powertrain,ECM/PCM Power Relay De-Energized Performance - Too Early
P068B,Powertrain,ECM/PCM Power Relay De-Energized Performance - Too Late
P068C,Powertrain,Cylinder 7 Glow Plug Control Circuit Low
P068D,Powertrain,Cylinder 7 Glow Plug Control Circuit High
P068E,Powertrain,Cylinder 8 Glow Plug Control Circuit Low
P068F,Powertrain,Cylinder 8 Glow Plug Control Circuit High
P0690,Powertrain,ECM/PCM Power Relay Sense Circuit High
P0691,Powertrain,Fan 1 Control Circuit Low
P0692,Powertrain,Fan 1 Control Circuit High
P0693,Powertrain,Fan 2 Control Circuit Low
P0694,Powertrain,Fan 2 Control Circuit High
P0695,Powertrain,Fan 3 Control Circuit Low
P0696,Powertrain,Fan 3 Control Circuit High
P0697,Powertrain,Sensor Reference Voltage - Circuit Open
P0698,Powertrain,Sensor Reference Voltage - Circuit Low
P0699,Powertrain,Sensor Reference Voltage - Circuit High
P069A,Powertrain,Cylinder 9 Glow Plug Control Circuit Low
P069B,Powertrain,Cylinder 9 Glow Plug Control Circuit High
P069C,Powertrain,Cylinder 10 Glow Plug Control Circuit Low
P069D,Powertrain,Cylinder 10 Glow Plug Control Circuit High
P069E,Powertrain,Fuel Pump Control Module Requested MIL Illumination
P069F,Powertrain,Throttle Actuator Control Lamp Control Circuit
P06A0,Powertrain,Variable A/C Compressor Control Circuit 
P06A1,Powertrain,Variable A/C Compressor Control Circuit Low
P06A2,Powertrain,Variable A/C Compressor Control Circuit High
P06A3,Powertrain,Sensor Reference Voltage - Circuit Open
P06A4,Powertrain,Sensor Reference Voltage - Circuit Low
P06A5,Powertrain,Sensor Reference Voltage - Circuit High
P06A6,Powertrain,Sensor Reference Voltage  - Circuit Range/Performance
P06A7,Powertrain,Sensor Reference Voltage  - Circuit Range/Performance
P06A8,Powertrain,Sensor Reference Voltage - Circuit Range/Performance
P06A9,Powertrain,Sensor Reference Voltage - Circuit Range/Performance
P06AA,Powertrain,PCM/ECM/TCM Internal Temperature  - Too High
P06AB,Powertrain,PCM/ECM/TCM Internal Temperature Sensor  - Circuit
P06AC,Powertrain,PCM/ECM/TCM Internal Temperature Sensor  - Range/Performance
P06AD,Powertrain,PCM/ECM/TCM Internal Temperature Sensor  - Circuit Low
P06AE,Powertrain,PCM/ECM/TCM Internal Temperature Sensor  - Circuit High
P06AF,Powertrain,Torque Management System - Forced Engine Shutdown
P06B0,Powertrain,Sensor Power Supply  - Circuit/Open
P06B1,Powertrain,Sensor Power Supply  - Circuit Low
P06B2,Powertrain,Sensor Power Supply  - Circuit High
P06B3,Powertrain,Sensor Power Supply  - Circuit/Open
P06B4,Powertrain,Sensor Power Supply  - Circuit Low
P06B5,Powertrain,Sensor Power Supply  - Circuit High
P06B6,Powertrain,Internal Control Module Knock Sensor Processor 1 Performance
P06B7,Powertrain,Internal Control Module Knock Sensor Processor 2 Performance
P06B8,Powertrain,Internal Control Module Non-Volatile Random Access Memory (NVRAM) Error 
P06B9,Powertrain,Cylinder 1 Glow Plug Circuit Range/Performance
P06BA,Powertrain,Cylinder 2 Glow Plug Circuit Range/Performance
P06BB,Powertrain,Cylinder 3 Glow Plug Circuit Range/Performance
P06BC,Powertrain,Cylinder 4 Glow Plug Circuit Range/Performance
P06BD,Powertrain,Cylinder 5 Glow Plug Circuit Range/Performance
P06BE,Powertrain,Cylinder 6 Glow Plug Circuit Range/Performance
P06BF,Powertrain,Cylinder 7 Glow Plug Circuit Range/Performance
P06C0,Powertrain,Cylinder 8 Glow Plug Circuit Range/Performance
P06C1,Powertrain,Cylinder 9 Glow Plug Circuit Range/Performance
P06C2,Powertrain,Cylinder 10 Glow Plug Circuit Range/Performance
P06C3,Powertrain,Cylinder 11 Glow Plug Circuit Range/Performance
P06C4,Powertrain,Cylinder 12 Glow Plug Circuit Range/Performance
P06C5,Powertrain,Cylinder 1 Glow Plug Incorrect
P06C6,Powertrain,Cylinder 2 Glow Plug Incorrect
P06C7,Powertrain,Cylinder 3 Glow Plug Incorrect
P06C8,Powertrain,Cylinder 4 Glow Plug Incorrect
P06C9,Powertrain,Cylinder 5 Glow Plug Incorrect
P06CA,Powertrain,Cylinder 6 Glow Plug Incorrect
P06CB,Powertrain,Cylinder 7 Glow Plug Incorrect
P06CC,Powertrain,Cylinder 8 Glow Plug Incorrect
P06CD,Powertrain,Cylinder 9 Glow Plug Incorrect
P06CE,Powertrain,Cylinder 10 Glow Plug Incorrect
P06CF,Powertrain,Cylinder 11 Glow Plug Incorrect
P06D0,Powertrain,Cylinder 12 Glow Plug Incorrect
P06D1,Powertrain,Internal Control Module Ignition Coil Control Performance
P0700,Powertrain,Transmission Control System Malfunction
P0701,Powertrain,Transmission Control System Range/Performance
P0702,Powertrain,Transmission Control System Electrical
P0703,Powertrain,Torque Converter/Brake Switch B Circuit Malfunction
P0704,Powertrain,Clutch switch input circuit malfunction; F650-F750 with Allison AT545: neutral switch
P0705,Powertrain,Transmission Range Sensor A Circuit malfunction (PRNDL Input)
P0706,Powertrain,Transmission Range Sensor A Circuit Range/Performance
P0707,Powertrain,Transmission Range Sensor A Circuit Low Input
P0708,Powertrain,TR sensor circuit high input
P0708,Powertrain,Transmission Range Sensor A Circuit High Input
P0709,Powertrain,Transmission Range Sensor A Circuit Intermittent
P070A,Powertrain,Transmission Fluid Level Sensor Circuit
P070B,Powertrain,Transmission Fluid Level Sensor Circuit Range/Performance
P070C,Powertrain,Transmission Fluid Level Sensor Circuit Low
P070D,Powertrain,Transmission Fluid Level Sensor Circuit High
P070E,Powertrain,Transmission Fluid Level Sensor Circuit intermittent/Erratic
P070F,Powertrain,Transmission Fluid Level Too Low
P0710,Powertrain,Transmission Fluid Temperature Sensor A Circuit Malfunction
P0711,Powertrain,Transmission Fluid Temperature Sensor A Circuit Range/Performance
P0712,Powertrain,Transmission Fluid Temperature Sensor A Circuit Low Input
P0713,Powertrain,Transmission Fluid Temperature Sensor A Circuit High Input
P0714,Powertrain,Transmission Fluid Temperature Sensor A Circuit Intermittent
P0715,Powertrain,Input/Turbine Speed Sensor A Circuit Malfunction
P0716,Powertrain,Input/Turbine Speed Sensor A Circuit Range/Performance
P0717,Powertrain,Input/Turbine Speed Sensor A Circuit No Signal
P0718,Powertrain,Input/Turbine Speed Sensor A Circuit Intermittent
P0719,Powertrain,Torque Converter/Brake Switch B Circuit Low
P071A,Powertrain,Transmission Mode Switch  - Circuit
P071B,Powertrain,Transmission Mode Switch  - Circuit Low
P071C,Powertrain,Transmission Mode Switch  - Circuit High
P071D,Powertrain,Transmission Mode Switch  - Circuit
P071E,Powertrain,Transmission Mode Switch  - Circuit Low
P071F,Powertrain,Transmission Mode Switch  - Circuit High
P0720,Powertrain,Output Speed Sensor Circuit Malfunction
P0721,Powertrain,Output Speed Sensor Range/Performance
P0722,Powertrain,Output Speed Sensor No Signal
P0723,Powertrain,Output Speed Sensor Intermittent
P0724,Powertrain,Torque Converter/Brake Switch B Circuit High
