ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,BAROMETRIC_PRESSURE,CALIBRATION_ID,CLEAR_DTC,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_ACCELERATOR_POS_D,DTC_ACCELERATOR_POS_E,DTC_BAROMETRIC_PRESSURE,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_STATUS,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_O2_B1S1,DTC_O2_B1S2,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_STATUS,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,MIDS_A,MIDS_B,MONITOR_CATALYST_B1,MONITOR_O2_B1S1,O2_B1S1,O2_B1S2,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,WARMUPS_SINCE_DTC_CLEAR,TIMESTAMP_OBD,MERGED_TIMESTAMP,TIMESTAMP_EPS8266,GPS_STATUS,LATITUDE,LONGITUDE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,VIBRATION_STATUS
22.745098039215687 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.701 volt,58 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,30.19607843137255 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],35 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.89 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,818.75 revolutions_per_minute,142.0 second,-1.5625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0efdb70>,6.666666666666667 percent,14.117647058823529 percent,14.117647058823529 percent,18.5 degree,0.0 count,2025-04-24 16:44:11,2025-04-24 16:44:14,2025-04-24 16:44:10,Signal Acquired,15.51648,73.945888,1.87,1.87,8.79,-0.07,-0.05,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:10,Signal Acquired,15.516483,73.945888,0.46,2.51,8.69,-0.02,0.08,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:10,Signal Acquired,15.516483,73.945888,2.23,2.04,8.98,0.01,0.0,0.01,DETECTED
21.176470588235293 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.784 volt,59 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,27.84313725490196 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],33 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.07 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,735.75 revolutions_per_minute,147.0 second,0.78125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0f10670>,6.666666666666667 percent,14.117647058823529 percent,14.117647058823529 percent,6.5 degree,0.0 count,2025-04-24 16:44:15,2025-04-24 16:44:19,2025-04-24 16:44:15,Signal Acquired,15.516481,73.945889,1.03,2.23,8.6,-0.08,-0.01,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:15,Signal Acquired,15.516481,73.945889,1.37,2.29,8.44,0.02,0.06,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:15,Signal Acquired,15.516479,73.945889,2.23,1.74,8.56,-0.06,-0.03,-0.0,DETECTED
20.784313725490197 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.765 volt,59 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,29.019607843137255 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],35 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.935 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,806.0 revolutions_per_minute,151.0 second,0.0 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0eff7c0>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,11.0 degree,0.0 count,2025-04-24 16:44:20,2025-04-24 16:44:24,2025-04-24 16:44:20,Signal Acquired,15.516479,73.945889,0.22,2.45,8.77,-0.07,0.04,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:20,Signal Acquired,15.516471,73.94589,2.16,1.98,8.84,0.03,0.03,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:20,Signal Acquired,15.516471,73.94589,0.78,2.49,8.59,-0.09,0.03,-0.0,DETECTED
20.392156862745097 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.696 volt,60 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.6 volt,25.88235294117647 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],34 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.13 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,4.705882352941177 percent,700.5 revolutions_per_minute,156.0 second,1.5625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0d27310>,6.2745098039215685 percent,13.72549019607843 percent,13.72549019607843 percent,12.0 degree,0.0 count,2025-04-24 16:44:25,2025-04-24 16:44:28,2025-04-24 16:44:25,Signal Acquired,15.516465,73.945891,2.1,2.01,9.05,0.02,0.02,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:25,Signal Acquired,15.516465,73.945891,0.59,2.54,8.74,-0.09,0.01,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:25,Signal Acquired,15.516466,73.945891,2.1,1.98,8.88,0.03,0.03,0.0,DETECTED
20.392156862745097 percent,14.901960784313726 percent,7.8431372549019605 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.794 volt,60 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,27.45098039215686 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.825 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,753.0 revolutions_per_minute,161.0 second,-3.90625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0d33400>,6.666666666666667 percent,14.117647058823529 percent,14.117647058823529 percent,11.5 degree,0.0 count,2025-04-24 16:44:30,2025-04-24 16:44:33,2025-04-24 16:44:30,Signal Acquired,15.516466,73.945891,1.21,2.21,8.85,-0.07,-0.01,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:30,Signal Acquired,15.516467,73.945891,1.18,2.34,8.51,0.01,0.05,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:30,Signal Acquired,15.516467,73.945891,1.24,2.04,9.04,-0.07,-0.01,-0.0,DETECTED
20.784313725490197 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,61 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,26.274509803921568 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],38 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.885 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.490196078431373 percent,857.0 revolutions_per_minute,166.0 second,-2.34375 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0d279d0>,6.666666666666667 percent,14.509803921568627 percent,14.117647058823529 percent,8.5 degree,0.0 count,2025-04-24 16:44:34,2025-04-24 16:44:38,2025-04-24 16:44:34,Signal Acquired,15.516469,73.94589,1.58,2.15,8.61,0.0,0.06,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:34,Signal Acquired,15.516469,73.94589,1.07,2.27,8.56,-0.05,-0.02,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:34,Signal Acquired,15.516474,73.94589,1.4,2.2,8.48,-0.01,0.08,-0.01,DETECTED
20.784313725490197 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.74 volt,62 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,27.45098039215686 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],34 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.89 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.490196078431373 percent,845.5 revolutions_per_minute,171.0 second,-2.34375 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0d4e0b0>,6.666666666666667 percent,14.509803921568627 percent,14.117647058823529 percent,6.0 degree,0.0 count,2025-04-24 16:44:39,2025-04-24 16:44:43,2025-04-24 16:44:39,Signal Acquired,15.516474,73.94589,1.66,2.01,8.74,-0.02,-0.04,0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:39,Signal Acquired,15.516474,73.945891,1.46,2.17,8.54,-0.01,0.08,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:39,Signal Acquired,15.516474,73.945891,1.29,2.07,8.76,-0.05,-0.02,-0.0,DETECTED
20.784313725490197 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,62 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,26.666666666666668 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],34 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.13 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,749.25 revolutions_per_minute,175.0 second,0.0 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0d67550>,6.2745098039215685 percent,14.117647058823529 percent,14.117647058823529 percent,8.0 degree,0.0 count,2025-04-24 16:44:44,2025-04-24 16:44:47,2025-04-24 16:44:44,Signal Acquired,15.516472,73.945892,1.78,2.06,8.46,-0.0,0.05,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:44,Signal Acquired,15.516472,73.945892,1.51,2.09,8.66,-0.05,-0.05,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:44,Signal Acquired,15.516461,73.945894,1.29,2.16,8.55,-0.02,0.09,-0.01,DETECTED
20.392156862745097 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.594 volt,63 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,25.49019607843137 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],33 kilopascal,40 degree_Celsius,4.6875 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.81 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,709.5 revolutions_per_minute,180.0 second,-2.34375 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0d4df00>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,6.5 degree,0.0 count,2025-04-24 16:44:49,2025-04-24 16:44:52,2025-04-24 16:44:49,Signal Acquired,15.516461,73.945894,0.6,2.24,8.8,-0.08,0.04,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:49,Signal Acquired,15.516447,73.945896,2.12,1.95,8.75,0.01,-0.02,0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:49,Signal Acquired,15.516447,73.945896,0.7,2.38,8.32,-0.05,0.08,-0.02,DETECTED
21.176470588235293 percent,17.254901960784313 percent,8.235294117647058 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.735 volt,63 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,26.274509803921568 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,40 degree_Celsius,4.6875 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.165 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,808.0 revolutions_per_minute,185.0 second,-1.5625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0d9b880>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,12.0 degree,0.0 count,2025-04-24 16:44:54,2025-04-24 16:44:57,2025-04-24 16:44:54,Signal Acquired,15.516437,73.945897,1.73,1.89,8.78,-0.05,-0.05,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:54,Signal Acquired,15.516437,73.945897,1.43,2.3,8.61,0.01,0.05,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:54,Signal Acquired,15.516428,73.945897,1.21,2.28,8.97,-0.07,-0.02,0.01,DETECTED
21.56862745098039 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.765 volt,64 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,30.19607843137255 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],34 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.85 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,6.666666666666667 percent,896.0 revolutions_per_minute,190.0 second,-1.5625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0da6140>,16.862745098039216 percent,22.745098039215687 percent,23.137254901960784 percent,7.0 degree,0.0 count,2025-04-24 16:44:58,2025-04-24 16:45:02,2025-04-24 16:44:58,Signal Acquired,15.516428,73.945897,1.93,1.98,9.06,0.01,0.03,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:58,Signal Acquired,15.516414,73.945898,0.29,2.38,8.68,-0.08,0.06,-0.02,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:58,Signal Acquired,15.516414,73.945898,2.12,1.91,8.52,0.0,-0.03,0.0,DETECTED
23.52941176470588 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.804 volt,64 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,23.92156862745098 percent,0.0 percent,"('Open loop due to engine load OR fuel cut due to deceleration', '')",[],[],35 kilopascal,40 degree_Celsius,3.90625 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.91 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,9.411764705882353 percent,2304.75 revolutions_per_minute,195.0 second,0.0 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0db8220>,12.156862745098039 percent,18.823529411764707 percent,18.431372549019606 percent,41.0 degree,0.0 count,2025-04-24 16:45:03,2025-04-24 16:45:07,2025-04-24 16:45:03,Signal Acquired,15.516408,73.945898,1.42,2.3,8.69,-0.01,0.05,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:45:03,Signal Acquired,15.516408,73.945898,0.77,2.36,8.46,-0.09,0.05,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:45:03,Signal Acquired,15.516407,73.945898,2.19,1.85,8.66,-0.01,-0.03,0.0,DETECTED
17.254901960784313 percent,24.705882352941178 percent,12.549019607843137 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.833 volt,65 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,20.392156862745097 percent,0.0 percent,"('Open loop due to engine load OR fuel cut due to deceleration', '')",[],[],26 kilopascal,40 degree_Celsius,0.0 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.0 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,6.666666666666667 percent,1242.5 revolutions_per_minute,200.0 second,0.0 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0db9840>,7.450980392156863 percent,14.901960784313726 percent,14.509803921568627 percent,8.0 degree,0.0 count,2025-04-24 16:45:08,2025-04-24 16:45:12,2025-04-24 16:45:08,Signal Acquired,15.516407,73.945898,0.59,2.37,8.7,-0.02,0.08,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:45:08,Signal Acquired,15.516402,73.945898,2.32,1.83,8.6,-0.04,-0.06,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:45:08,Signal Acquired,15.516402,73.945898,1.21,2.34,8.64,-0.03,0.06,-0.0,DETECTED
20.392156862745097 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,66 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,24.705882352941178 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],31 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.815 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,4.705882352941177 percent,709.5 revolutions_per_minute,204.0 second,-3.125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0ddb310>,5.882352941176471 percent,13.72549019607843 percent,13.72549019607843 percent,12.5 degree,0.0 count,2025-04-24 16:45:13,2025-04-24 16:45:17,2025-04-24 16:45:13,Signal Acquired,15.516403,73.945898,1.92,2.08,8.76,0.01,0.04,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:45:13,Signal Acquired,15.516403,73.945898,1.58,2.08,8.83,-0.06,-0.05,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:45:13,Signal Acquired,15.516401,73.945898,0.74,2.42,8.63,-0.02,0.09,-0.01,DETECTED
19.607843137254903 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.77 volt,67 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,31.372549019607842 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],34 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.925 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,4.705882352941177 percent,728.5 revolutions_per_minute,209.0 second,-3.90625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0dba350>,7.450980392156863 percent,14.901960784313726 percent,14.509803921568627 percent,1.5 degree,0.0 count,2025-04-24 16:45:18,2025-04-24 16:45:21,2025-04-24 16:45:18,Signal Acquired,15.516401,73.945898,2.16,1.97,8.54,-0.01,-0.04,0.0,DETECTED
